job_simp,job_state,seniority,hourly,Herramienta,Requerido
data scientist,NM,na,0,Python,1
data scientist,MD,na,0,Python,1
data scientist,FL,na,0,Python,1
data scientist,WA,na,0,Python,1
data scientist,NY,na,0,Python,1
data scientist,TX,na,0,Python,1
data scientist,MD,na,0,Python,0
data scientist,CA,na,0,Python,1
other scientist,NY,na,0,Python,0
data scientist,NY,na,0,Python,1
data scientist,CA,na,0,Python,1
data scientist,VA,na,0,Python,0
data scientist,TX,na,0,Python,0
analyst,WA,na,0,Python,1
data scientist,MA,na,0,Python,1
data engineer,NJ,na,0,Python,0
other scientist,MA,na,0,Python,0
data scientist,CA,na,0,Python,1
data scientist,CA,na,0,Python,0
data scientist,CO,na,0,Python,1
data scientist,WA,na,0,Python,1
data scientist,TX,senior,0,Python,0
data scientist,IL,na,0,Python,1
data scientist,KY,na,0,Python,1
data scientist,VA,na,0,Python,1
data scientist,MA,na,0,Python,1
data scientist,OR,na,0,Python,1
analyst,MA,na,0,Python,0
data scientist,CT,na,0,Python,0
data scientist,FL,na,0,Python,1
data scientist,WA,na,0,Python,1
data scientist,MI,na,0,Python,1
data scientist,MA,na,0,Python,1
data scientist,CA,na,0,Python,1
data scientist,MA,na,0,Python,1
analyst,CA,na,0,Python,1
data scientist,CA,na,0,Python,1
data scientist,MA,na,0,Python,1
data scientist,CA,senior,0,Python,1
data engineer,NY,na,0,Python,1
analyst,CA,na,0,Python,1
data engineer,MA,na,0,Python,0
data scientist,CA,na,0,Python,0
other scientist,NJ,na,0,Python,0
data scientist,IL,senior,0,Python,1
data scientist,DC,na,0,Python,0
data scientist,WA,senior,0,Python,1
analyst,CO,na,0,Python,0
other scientist,OH,na,0,Python,0
data scientist,IL,na,0,Python,0
data scientist,FL,na,0,Python,1
data scientist,MA,na,0,Python,1
analyst,AL,na,0,Python,1
data scientist,NY,na,0,Python,1
data scientist,CA,na,0,Python,0
data scientist,NM,na,0,Python,1
data scientist,CA,na,0,Python,1
data scientist,MO,na,0,Python,1
data scientist,MD,na,0,Python,0
data scientist,TX,na,0,Python,1
data scientist,OH,senior,0,Python,1
data scientist,NY,na,0,Python,1
data scientist,CA,senior,0,Python,0
data scientist,WA,na,0,Python,0
data scientist,PA,na,0,Python,1
data scientist,MA,na,0,Python,1
data scientist,GA,na,0,Python,1
data scientist,MA,na,0,Python,1
data scientist,PA,na,0,Python,1
other scientist,WA,na,0,Python,0
Consultant,IN,na,0,Python,1
director,IL,na,0,Python,1
other scientist,MO,na,0,Python,0
data scientist,VA,senior,0,Python,1
data scientist,PA,na,0,Python,1
data scientist,WA,senior,0,Python,0
data scientist,CA,na,0,Python,1
other scientist,MA,na,0,Python,0
data scientist,VA,na,0,Python,1
data scientist,CA,na,0,Python,1
data scientist,CA,na,0,Python,1
